,ANO,COMBUSTÍVEL,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,TOTAL
63,2007,ÓLEO DIESEL (m3),4742165.99524073,4015701.269224507,6156760.069947034,8807376.372487359,5586249.815426088,5697619.875877013,12928915.952292014,7431238.106565981,5333824.62558117,6441898.536157213,4617980.301592826,5363482.10606846,5993146.153539601
64,2008,ETANOL HIDRATADO (m3),1491846.428265431,1328047.1248397636,1414767.346114325,1890194.6820700723,1371631.4595857298,1167036.898279993,1584582.5077715607,2046414.2462337732,1288321.1238253552,1829087.3380533764,7808339.256632369,1959013.1576478733,1400910.1026803714
65,2008,GASOLINA C (m3),3691886.564893166,8713699.764613552,3976564.608552909,3598357.7948577204,4605459.612010318,2710812.798698024,2721856.9420136074,3546290.284857022,3149525.3652399085,2307047.8827289306,3431230.142932725,4862756.026333928,3034077.4362681885
66,2008,GASOLINA DE AVIAÇÃO (m3),9674.733589940603,11842.994068991551,10228.66875452393,6737.437688095646,6212.957764660238,8505.858063572105,7642.132194782088,9020.69980921626,6280.616318547929,16188.977058683355,10284.858201567456,7703.004435680581,11697.324051738262
67,2008,GLP (m3),1163460.189187354,1952483.9370433844,2295317.907803671,1490002.8306515769,1906861.6399123003,4153415.276068723,1945939.6260073725,1516624.5646435944,2122981.37977746,1314033.8483447605,1362407.499172535,1917670.9825633757,1377211.5543311392
68,2008,QUEROSENE DE AVIAÇÃO (m3),595771.584,502569.145,693050.244,543204.992,484738.792,665282.393,789339.3200000001,466560.024,834611.056,587253.813,571752.72,1163707.2750000001,2557157.7060000002
69,2008,QUEROSENE ILUMINANTE (m3),3850.545965010299,6316.599434573869,2408.336756057214,2739.90575188847,6216.680594221794,4339.374904125182,5298.368016445448,5168.926588416459,2923.170545559793,2268.4300621795123,2952.073945729167,1995.0045553515515,2084.9108804412513
70,2008,ÓLEO COMBUSTÍVEL (m3),1467176.0608042497,493979.374809853,998184.5552435124,811095.0878109052,560902.0714100313,622837.3985811428,439829.00710421556,440863.90643199976,828432.2729326136,443277.1085671058,440995.5195517471,1697857.4968503183,1097941.553902307
71,2008,ÓLEO DIESEL (m3),6607510.538061117,5184110.366596052,4226237.360970205,6848272.658681938,9323834.408315085,5962653.498263177,6090402.280920266,13865849.87802014,7998180.210475433,5743699.019850675,6858644.633405908,4996362.719390997,5822147.041848969
72,2009,ETANOL HIDRATADO (m3),1763737.7205038506,1890984.0859310818,1695529.6233890231,1836586.2743079027,2421814.313752193,1728881.226811317,1414154.4976162817,1978176.3637314793,2542816.535772689,1549898.6197839538,2276027.9891794026,9343156.905681139,2500132.1875396944
